"Gene.stable.ID","Gene.name"
"ENSMUSG00000100942","Gm28560"
"ENSMUSG00000100333","Gm28561"
"ENSMUSG00000100126","Gm29584"
"ENSMUSG00000099778","Gm28134"
"ENSMUSG00000101512","Gm28135"
"ENSMUSG00000101256","Gm28133"
"ENSMUSG00000101758","Gm28137"
"ENSMUSG00000099395","Gm28138"
"ENSMUSG00000100982","Gm21837"
"ENSMUSG00000100447","Gm29378"
"ENSMUSG00000100607","Gm29379"
"ENSMUSG00000099829","Gm29380"
"ENSMUSG00000101278","Gm29381"
"ENSMUSG00000101442","Gm28795"
"ENSMUSG00000096666","Gm20852"
"ENSMUSG00000100373","Gm29003"
"ENSMUSG00000102077","Gm29001"
"ENSMUSG00000095302","Ssty2"
"ENSMUSG00000100569","Gm28646"
"ENSMUSG00000100809","Gm28612"
"ENSMUSG00000099962","Gm28613"
"ENSMUSG00000099457","Gm21794"
"ENSMUSG00000101313","Gm29219"
"ENSMUSG00000100478","Gm29632"
"ENSMUSG00000101083","Gm29631"
"ENSMUSG00000102118","Gm29637"
"ENSMUSG00000099716","Gm29082"
"ENSMUSG00000101794","Gm29217"
"ENSMUSG00000101529","Gm29636"
"ENSMUSG00000099335","Gm29635"
"ENSMUSG00000100897","Gm29634"
"ENSMUSG00000099501","Gm29662"
"ENSMUSG00000099991","Gm29660"
"ENSMUSG00000101358","Gm29661"
"ENSMUSG00000101816","Gm29659"
"ENSMUSG00000096016","Gm20937"
"ENSMUSG00000101861","Gm29450"
"ENSMUSG00000101598","Gm29449"
"ENSMUSG00000104345","Gm37690"
"ENSMUSG00000102772","Gm32114"
"ENSMUSG00000103425","Gm37075"
"ENSMUSG00000102486","Gm37921"
"ENSMUSG00000103250","Gm32180"
"ENSMUSG00000103077","Gm38371"
"ENSMUSG00000103787","Gm37657"
"ENSMUSG00000103987","Gm37448"
"ENSMUSG00000103063","Gm33163"
"ENSMUSG00000103954","Gm37721"
"ENSMUSG00000103894","Gm37129"
